County,2022,2023,2024,2025,2026,2027,2028,2029,2030
Siskiyou,-18.93225752,-1.89E+01,-18.93225752,-18.93225752,-18.93225752,-18.93225752,-18.93225752,-18.93225752,-18.93225752
Solano,-18.95168386,-1.90E+01,-18.95168386,-18.95168386,-18.95168386,-18.95168386,-18.95168386,-18.95168386,-18.95168386
Sonoma,-18.9473772,-1.89E+01,-18.9473772,-18.9473772,-18.9473772,-18.9473772,-18.9473772,-18.9473772,-18.9473772
Stanislaus,-18.94750731,-1.89E+01,-18.94750731,-18.94750731,-18.94750731,-18.94750731,-18.94750731,-18.94750731,-18.94750731
Sutter,-18.95881698,-1.90E+01,-18.95881698,-18.95881698,-18.95881698,-18.95881698,-18.95881698,-18.95881698,-18.95881698
Tehama,-18.92774553,-1.89E+01,-18.92774553,-18.92774553,-18.92774553,-18.92774553,-18.92774553,-18.92774553,-18.92774553
Trinity,-18.92019323,-1.89E+01,-18.92019323,-18.92019323,-18.92019323,-18.92019323,-18.92019323,-18.92019323,-18.92019323
Tulare,-18.92463579,-1.89E+01,-18.92463579,-18.92463579,-18.92463579,-18.92463579,-18.92463579,-18.92463579,-18.92463579
Tuolumne,-18.94223089,-1.89E+01,-18.94223089,-18.94223089,-18.94223089,-18.94223089,-18.94223089,-18.94223089,-18.94223089
Ventura,-18.93747175,-1.89E+01,-18.93747175,-18.93747175,-18.93747175,-18.93747175,-18.93747175,-18.93747175,-18.93747175
Yolo,-18.9551782,-1.90E+01,-18.9551782,-18.9551782,-18.9551782,-18.9551782,-18.9551782,-18.9551782,-18.9551782
Yuba,-18.95469899,-1.90E+01,-18.95469899,-18.95469899,-18.95469899,-18.95469899,-18.95469899,-18.95469899,-18.95469899
